iso,anger_avg,disgust_avg,fear_avg,happy_avg,neutral_avg,sad_avg,surprise_avg,anger_dom_pct,disgust_dom_pct,fear_dom_pct,happy_dom_pct,neutral_dom_pct,sad_dom_pct,surprise_dom_pct
ARG,0.03213767879963692,0.02715828547511121,0.01496048153634986,0.6193334993360371,0.1071400234439603,0.09386641956195396,0.10540360782761127,0.0,0.0,0.0,65.51724137931035,10.344827586206897,10.344827586206897,13.793103448275861
AUS,0.33230437378052813,0.1806599955956559,0.022682320712379012,0.21638204955021278,0.16519919745415115,0.04482792219175444,0.037944156462729625,30.76923076923077,26.923076923076923,1.282051282051282,21.794871794871796,17.94871794871795,1.282051282051282,0.0
BLR,0.11733422618359328,0.041458942340686915,0.021151372690219432,0.33054921350441874,0.3587592217652127,0.047232289290986954,0.08351473550312222,16.0,0.0,0.0,36.0,36.0,0.0,12.0
BRA,0.05824316664984508,0.022924067374030226,0.007672367969765522,0.29057439038903493,0.47747727941350604,0.10034411379031856,0.042764613145360876,2.083333333333333,0.0,0.0,29.166666666666668,60.416666666666664,4.166666666666666,4.166666666666666
CAN,0.09338679984368635,0.058723639527437255,0.035577178818176694,0.34059034047710995,0.16237333073438956,0.0982434353141938,0.21110527664915515,7.6923076923076925,2.564102564102564,0.0,33.33333333333333,15.384615384615385,7.6923076923076925,33.33333333333333
CHN,0.042298949507994385,0.19480575066071493,0.007761133375423889,0.40352803214222505,0.2158969383659158,0.06822192924934059,0.0674872648035726,0.6749740394600208,25.02596053997923,0.0,46.00207684319834,21.754932502596052,2.699896157840083,3.8421599169262723
DEU,0.2395298635558818,0.14347840769770423,0.013527705068373887,0.12644464054482607,0.2651304775867149,0.1755823685652626,0.03630652663534084,21.98581560283688,11.347517730496454,0.0,14.893617021276595,31.20567375886525,16.312056737588655,4.25531914893617
ESP,0.09856774284404916,0.06974961689229531,0.024069393726070604,0.3449289127747761,0.2663785607389097,0.11668236455625447,0.07962339193242467,8.333333333333332,0.0,0.0,37.5,33.33333333333333,12.5,8.333333333333332
FRA,0.11550504963617475,0.05707733958010514,0.031805740615052924,0.1945476982666909,0.3314719360564863,0.05118836781527053,0.21840387048700297,11.76470588235294,3.2085561497326207,1.06951871657754,19.786096256684495,37.4331550802139,3.2085561497326207,23.52941176470588
GBR,0.1441021602251567,0.14717069225672103,0.018161598250515307,0.2514588088967611,0.22212897268252926,0.08703997465632415,0.12993779651131607,12.432432432432433,14.594594594594595,0.0,25.405405405405407,25.945945945945947,7.567567567567568,14.054054054054054
HUN,0.3541592368468021,0.17971198912709951,0.04149288773381462,0.0229625131226688,0.19717004732228816,0.15096577047370374,0.05353754853422288,54.166666666666664,25.0,0.0,0.0,16.666666666666664,4.166666666666666,0.0
IDN,0.036110846477846105,0.07606474642976067,0.009083027315359832,0.489464629828299,0.21375905304035592,0.08374638163255557,0.09177132288459688,3.225806451612903,6.451612903225806,0.0,51.61290322580645,22.58064516129032,6.451612903225806,9.67741935483871
IND,0.20728746603329098,0.10236222779697171,0.015616097157876737,0.12197630755912067,0.40826576328127767,0.07908855972852072,0.06540357190280464,32.608695652173914,4.3478260869565215,0.0,8.695652173913043,47.82608695652174,2.1739130434782608,4.3478260869565215
ISR,0.2238788301967563,0.08702377933311961,0.012756554939187481,0.25564688805510133,0.26345290326086496,0.09817590921334664,0.059065136598292156,27.77777777777778,4.166666666666666,0.0,29.166666666666668,26.38888888888889,6.944444444444445,5.555555555555555
ITA,0.06525454005679569,0.15070072145239022,0.044843285227732455,0.2881246812742304,0.2505930564932626,0.11188324996446436,0.0886004632291686,8.108108108108109,10.81081081081081,2.7027027027027026,32.432432432432435,24.324324324324326,8.108108108108109,13.513513513513514
JPN,0.10151439758468889,0.10048450997738122,0.01174650677072831,0.11416339854159477,0.3434655799411145,0.10750633872774129,0.22111926685195138,12.396694214876034,7.43801652892562,0.0,14.87603305785124,36.36363636363637,9.090909090909092,19.834710743801654
